,source_id,topic-0,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29,topic-30,topic-31,topic-32,topic-33,topic-34,topic-35,topic-36,topic-37,topic-38,topic-39
mc00456-001-bx0005-029-001,mc00456-001-bx0005-029-001,1.3873164789401926e-05,0.013212205842137337,0.0324878953397274,1.3873164789401926e-05,0.10665365308523178,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,0.012554461136460304,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,0.0011563668958842754,1.3873164789401926e-05,0.02761896513402462,1.3873164789401926e-05,1.3873164789401926e-05,0.0067106373608112335,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,0.41281619668006897,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,0.05173153057694435,1.3873164789401926e-05,0.05000625550746918,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,1.3873164789401926e-05,0.23402123153209686,0.050642166286706924
mc00456-001-bx0004-026-001,mc00456-001-bx0004-026-001,1.9058867110288702e-05,1.9058867110288702e-05,0.8291203379631042,0.07610463351011276,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,0.09406982362270355,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05,1.9058867110288702e-05
mc00456-001-bx0004-036-001,mc00456-001-bx0004-036-001,1.497534685768187e-05,1.497534685768187e-05,0.5635358095169067,0.011292331852018833,1.497534685768187e-05,1.497534685768187e-05,0.011314524337649345,0.0128624327480793,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,0.004247875884175301,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,0.009209874086081982,1.497534685768187e-05,0.09623011201620102,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,0.009527752175927162,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,0.03401220217347145,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,0.247317835688591,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05,1.497534685768187e-05
aspca_20200221_2337,aspca_20200221_2337,0.5899233222007751,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,0.012173288501799107,7.52621190258651e-06,0.052273817360401154,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,0.1661733090877533,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,0.11417686194181442,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,0.06502348929643631,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06,7.52621190258651e-06
mc00344-001-lb0001_26-005-000,mc00344-001-lb0001_26-005-000,9.765478807821637e-07,9.765478807821637e-07,0.11369328200817108,0.004730510991066694,9.765478807821637e-07,0.000801031244918704,8.014716149773449e-05,0.007925795391201973,0.0008911540498957038,0.0899415910243988,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,0.0856720358133316,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,0.0019115832401439548,9.765478807821637e-07,0.22833985090255737,0.30154046416282654,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,0.015119562856853008,9.765478807821637e-07,0.11677302420139313,0.001482575898990035,0.03107297234237194,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07,9.765478807821637e-07
mc00456-001-bx0005-007-005,mc00456-001-bx0005-007-005,1.948934186657425e-05,0.008174866437911987,0.17423628270626068,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,0.03459377959370613,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,0.015412568114697933,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,0.7427099943161011,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,0.024209901690483093,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05,1.948934186657425e-05
mc00456-001-bx0007-012-001,mc00456-001-bx0007-012-001,7.968936552060768e-05,7.968936552060768e-05,0.757732093334198,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,0.0970788300037384,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,0.04374934360384941,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,0.06059522554278374,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,7.968936552060768e-05,0.038055419921875
mc00456-001-bx0007-002-001,mc00456-001-bx0007-002-001,1.818157033994794e-05,1.818157033994794e-05,0.01698019728064537,0.04658127948641777,0.35121551156044006,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,0.01971001736819744,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,0.022401781752705574,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,0.025488128885626793,1.818157033994794e-05,0.08648331463336945,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,0.01926172524690628,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,0.3946641683578491,1.818157033994794e-05,1.818157033994794e-05,1.818157033994794e-05,0.016668478026986122
mc00456-001-bx0005-017-005,mc00456-001-bx0005-017-005,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.9537286162376404,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.03988507390022278,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507,0.00016805919585749507
mc00456-001-bx0004-044-001,mc00456-001-bx0004-044-001,1.1714644642779604e-05,1.1714644642779604e-05,0.8153114914894104,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,0.017094310373067856,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,0.006412017624825239,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,0.16076046228408813,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05,1.1714644642779604e-05
mc00456-001-bx0004-054-001,mc00456-001-bx0004-054-001,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,2.79208215943072e-05,0.9989111423492432,2.79208215943072e-05,2.79208215943072e-05
mc00344-001-bx0001_35-004-000,mc00344-001-bx0001_35-004-000,0.010318621061742306,2.987508878504741e-06,0.015537633560597897,0.0013841374311596155,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,0.08000129461288452,0.02757062390446663,0.08194966614246368,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,0.23762765526771545,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,0.01799798384308815,2.987508878504741e-06,0.03024987503886223,0.21618656814098358,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,0.0005164635367691517,2.987508878504741e-06,0.22358785569667816,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,2.987508878504741e-06,0.056991010904312134
mc00620-001-bx0001-059-001,mc00620-001-bx0001-059-001,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.47372227907180786,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.010545141063630581,0.5078774690628052,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196,0.00021230094716884196
mc00620-001-bx0001-049-001,mc00620-001-bx0001-049-001,5.6616030633449554e-05,5.6616030633449554e-05,0.2812888026237488,0.06670939922332764,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,0.14766615629196167,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,0.019214797765016556,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,0.4831392765045166,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05,5.6616030633449554e-05
mc00344_118768_20200108_864,mc00344_118768_20200108_864,0.0010618101805448532,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,0.1131880134344101,1.28446572489338e-06,0.011532295495271683,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,0.018474604934453964,1.283674691876513e-06,0.11343458294868469,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,0.004987768828868866,1.283674691876513e-06,1.283674691876513e-06,0.0005121167632751167,0.43374043703079224,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,0.006840906105935574,0.0005720448098145425,1.283674691876513e-06,0.2027469128370285,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,1.283674691876513e-06,0.09287260472774506
mc00344-001-bx0001_5-006-000,mc00344-001-bx0001_5-006-000,0.0035655598621815443,5.009381425225001e-07,0.0054555730894207954,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,0.9476394653320312,5.009381425225001e-07,0.0019747598562389612,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,0.020839570090174675,5.009381425225001e-07,0.00015007684123702347,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,0.0005895743379369378,5.009381425225001e-07,5.009381425225001e-07,0.00028263352578505874,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,0.009117389097809792,0.005923761520534754,5.009381425225001e-07,5.009381425225001e-07,5.009381425225001e-07,0.004447161220014095
mc00236_2595379_20191212_741,mc00236_2595379_20191212_741,1.1004062798747327e-05,1.1004062798747327e-05,0.2272922694683075,0.044726304709911346,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,0.20045171678066254,0.06769276410341263,0.0017200924921780825,0.015727993100881577,1.1004062798747327e-05,1.1004062798747327e-05,0.012732116505503654,1.1004062798747327e-05,0.04062623158097267,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,0.2827373445034027,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,0.0802840068936348,1.1004062798747327e-05,1.1004062798747327e-05,1.1004062798747327e-05,0.02569003589451313
mc00344-001-bx0001_38-003-000,mc00344-001-bx0001_38-003-000,2.5588776679796865e-06,2.5588776679796865e-06,2.5588776679796865e-06,2.5588776679796865e-06,2.5588776679796865e-06,0.0032150116749107838,0.0007386734941974282,2.5588776679796865e-06,0.024297066032886505,0.034949831664562225,2.5588776679796865e-06,0.003804205683991313,2.5588776679796865e-06,0.0020289067178964615,2.5588776679796865e-06,2.5588776679796865e-06,0.040223799645900726,2.5588776679796865e-06,0.001126912422478199,2.5588776679796865e-06,2.5588776679796865e-06,2.5588776679796865e-06,0.018078332766890526,2.5588776679796865e-06,2.5588776679796865e-06,0.030763929709792137,0.17970634996891022,2.5588776679796865e-06,2.5588776679796865e-06,0.002609134651720524,0.005924683064222336,0.030532920733094215,2.5588776679796865e-06,0.05901920050382614,0.5193966627120972,2.5588776679796865e-06,2.5588776679796865e-06,2.5588776679796865e-06,0.007185724098235369,0.03634234517812729
